N,EST_ari,SE_ari,EST_geo,SE_geo,EST_cv,SE_cv,EST_geo_anal
240000,6.556994810864939,0.017091538478959643,6.193664009802031,0.0161034504188153,6.864552969826896,0.0011046693706010672,6.474847237106069
250000,6.56396143978807,0.016772719297597286,6.190603764071408,0.015765996994890816,6.864596275545531,0.0010854607965464667,6.474847237106069
260000,6.54750563306889,0.01635204768866525,6.193612436894765,0.015439668344620646,6.863494356487174,0.0010662824126582246,6.474847237106069
270000,6.548901958577553,0.016095253775532437,6.179736090714872,0.015168139579751475,6.86538299451861,0.001050567674245668,6.474847237106069
280000,6.574256241928341,0.01584040728628844,6.221768635532236,0.014929747130167873,6.866018158238923,0.001028008722818803,6.474847237106069
290000,6.572878439621053,0.015598843663259514,6.19281073300148,0.014629462027852353,6.863716278825569,0.0010081658325869452,6.474847237106069
300000,6.554555298898855,0.015280750550028558,6.1833658923201265,0.014383424289286439,6.86353917823417,0.0009959779200390043,6.474847237106069
310000,6.58055335395711,0.015093905025655422,6.192049243109014,0.014169938046575844,6.863865245956323,0.0009758050394864086,6.474847237106069
320000,6.5732428509645136,0.01481391915178837,6.206686734342219,0.014026433700453905,6.865176740502329,0.0009603366627672443,6.474847237106069
330000,6.580310879561181,0.014632769401470859,6.189352606781579,0.01371064213065449,6.864288394568328,0.0009472232679668823,6.474847237106069
340000,6.569729305515684,0.014357265040383808,6.1952207537213235,0.013538317343814431,6.863715423290228,0.0009358581079579608,6.474847237106069
350000,6.536714795912306,0.014126739094664617,6.195499341105029,0.013364569912185471,6.86463265504024,0.0009157832016563983,6.474847237106069
360000,6.562904506910224,0.013973773485088445,6.187056300816072,0.013156885900400617,6.8636314533958185,0.0009057714635133168,6.474847237106069
370000,6.555350905885126,0.013777373351458252,6.19971745147547,0.012973970183673867,6.863728965823179,0.0008939812747041236,6.474847237106069
380000,6.549789699061085,0.013581203276129787,6.180151818227218,0.012778243288485145,6.864261875388798,0.0008830727669480581,6.474847237106069
390000,6.587619069048961,0.013475885390425997,6.1881216515407065,0.012638432474993756,6.864409566790721,0.0008725803296752359,6.474847237106069
400000,6.546968202374562,0.013262476208003063,6.165892798593426,0.012435321122767302,6.863777833889377,0.0008590447073423961,6.474847237106069
410000,6.576845282940588,0.013099111112043023,6.205390879254116,0.012351775666584384,6.863179103175581,0.000850627244055949,6.474847237106069
420000,6.55267004799466,0.012909339616330551,6.176922510756699,0.012170848316521389,6.864317719569044,0.0008403084363705647,6.474847237106069
430000,6.570129412081259,0.01276748522279804,6.18180797400648,0.012031792488969196,6.862733335983364,0.0008267938700230356,6.474847237106069
440000,6.575731074242945,0.01263440565530037,6.189627156946024,0.011883982309081737,6.863748249914558,0.0008204360680914948,6.474847237106069
450000,6.553442600094852,0.012488218247009235,6.182569548840146,0.011745227888682427,6.864280416025645,0.0008105173021627427,6.474847237106069
460000,6.55954985849207,0.012369809140120815,6.192272849197306,0.011639696761485437,6.864593233855424,0.0008018406464721715,6.474847237106069
470000,6.5788233497023745,0.012227497579281203,6.202049103112588,0.011520792550022191,6.863476101165833,0.0007924486127616764,6.474847237106069
