N,EST_ari,SE_ari,EST_geo,SE_geo,EST_cv,SE_cv,EST_geo_anal
270000,6.551381099233832,0.01615387551962096,6.318406119104061,0.01561516012847464,6.7131599020738175,0.0004378382287514967,6.474847237106069
280000,6.566290894261111,0.015881017048254426,6.331831277567007,0.01534544729180006,6.714243110497544,0.0004334063360635849,6.474847237106069
290000,6.5627403058868925,0.015542993347720416,6.329157876779895,0.015022038979350323,6.713426057976806,0.0004237009794422036,6.474847237106069
300000,6.557012304685674,0.01530258562767814,6.323266682339085,0.014788054552726667,6.713807415907075,0.0004214215106306783,6.474847237106069
310000,6.567209219210987,0.015065072512026496,6.332958600937493,0.014559033422692724,6.713974362225342,0.00041314824010675057,6.474847237106069
320000,6.551532923325536,0.014820380505788858,6.317867122167573,0.014322708818420031,6.713906263939093,0.0004073477576165336,6.474847237106069
330000,6.556947639446992,0.014594200115497268,6.322922778160185,0.01410347467119552,6.714099684960045,0.0003983431878556397,6.474847237106069
340000,6.541596922449821,0.014353781506954082,6.308470297611096,0.013873152416828712,6.71367385090023,0.00039156934845266085,6.474847237106069
350000,6.5712359240494544,0.014162131817996757,6.336627063941214,0.013685461767408803,6.714216334412593,0.0003892102824763732,6.474847237106069
360000,6.556415679726047,0.0139749658892859,6.323743091158567,0.013508606070907255,6.712679212304789,0.00037804241074244427,6.474847237106069
370000,6.580408694300252,0.013795593547256348,6.3458786291555915,0.013331308502605489,6.7138184630219335,0.000379047468682559,6.474847237106069
380000,6.567204934189704,0.013634039099969603,6.333159884848149,0.013175260684010492,6.713770896231699,0.000373793796092616,6.474847237106069
390000,6.56584191352725,0.013414856848435582,6.33191485751488,0.0129650659000072,6.713678031885489,0.0003656474794170043,6.474847237106069
400000,6.554103803599846,0.013213951748540379,6.32027284217532,0.012772477385807503,6.713960759118281,0.00036262233336924594,6.474847237106069
410000,6.553574547031276,0.013087222184698303,6.319901056665681,0.012647092413318618,6.71385317429712,0.00035744257616377654,6.474847237106069
